: 532/345 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 532/345 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 532/345 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 531.5/345 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 531.5/345 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 531.5/345 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 531/345 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 531/345 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 531/345 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 530.5/345 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 530.5/345.5 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 530.5/345.5 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 530/345.5 : Time 43, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 530/346 : Time 43, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 529.5/346 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 529.5/346 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 529.5/346 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 529.5/346 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 529/346 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 529/346 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 528.5/346 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 528.5/346 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 528.5/346 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 528.5/346 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 528/346 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 528/346.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 527.5/346 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
