Type 6: rect. pattern
: 701.5/232 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701/232 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701/232 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701/232 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700.5/232 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700.5/232 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700.5/232 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700/232 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700/232 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700/232 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 699.5/232 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 699.5/232.5 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 699.5/232.5 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 699/232.5 : Time 43, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 699/233 : Time 43, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 698.5/233 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 698.5/233 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 698.5/233 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 698.5/233 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 698/233 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 698/233 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 697.5/233 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 697.5/233 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 697.5/233 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 697.5/233 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 697/233 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
