: 603/446 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 603/446 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 603/446 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 602.5/446 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 602.5/446 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 602.5/446 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 602/446 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 602/446 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 602/446 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 601.5/446 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 601.5/446.5 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 601.5/446.5 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 601/446.5 : Time 43, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 601/447 : Time 43, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 600.5/447 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 600.5/447 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 600.5/447 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 600.5/447 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 600/447 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 600/447 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 599.5/447 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 599.5/447 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 599.5/447 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 599.5/447 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 599/447 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 599/447.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 598.5/447 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 598.5/447 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 598.5/447.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 598.5/447.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 598/447.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 597.5/447.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 597.5/447.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 597.5/447.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 597.5/447.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 597.5/447.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 596.5/447.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 596.5/447.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 596.5/447.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 596.5/447.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 596.5/448 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 596.5/448 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 595.5/448 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 595.5/448 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 595.5/448 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 595.5/448 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 595.5/448 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 595/448 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 594.5/448 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 594.5/448.5 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 594.5/448.5 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 594.5/448 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 594/448.5 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 594/448.5 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 593.5/448.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 593.5/448.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 593.5/448.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 593/448.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 593/448.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592.5/448.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592.5/448.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592.5/448.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592.5/448.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/448.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/448.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591.5/448.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591.5/448.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591.5/448.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/448.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/448.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/448.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590.5/448.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590.5/448.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/448.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/448.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/448.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/448.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589.5/448.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/448.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/448.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/448.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/448 : Time 69, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/448.5 : Time 69, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/448 : Time 71, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/448 : Time 71, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/448 : Time 71, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/448 : Time 71, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/448 : Time 71, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/448 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/448 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/448 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
