: 582/201 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581.5/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581.5/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581.5/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580.5/202 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580.5/202 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580.5/202 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580/202 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580/203 : Time 43, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580/203 : Time 43, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 579.5/203 : Time 43, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 579.5/203 : Time 43, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 579.5/203 : Time 43, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 579/203 : Time 45, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 579/203 : Time 45, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 578.5/203 : Time 45, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 578.5/203.5 : Time 45, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 578.5/204 : Time 47, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 578.5/204 : Time 47, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 578/204 : Time 47, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 577.5/204 : Time 49, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 577.5/204 : Time 49, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 577.5/204 : Time 49, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 577.5/204 : Time 49, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 577.5/204 : Time 49, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 577/204.5 : Time 51, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 576.5/204.5 : Time 51, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 576.5/204.5 : Time 51, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 576.5/204.5 : Time 51, L1 State: WAIT, L2 State: GL--, (0 - 0): 
