: 707/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706.5/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706.5/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706.5/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706/233 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706/233 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706/233 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705.5/233 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705.5/233.5 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705.5/233.5 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705/233.5 : Time 43, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705/234 : Time 43, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704.5/234 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704.5/234 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704.5/234 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704.5/234 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704/234 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704/234 : Time 45, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703.5/234 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703.5/234 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703.5/234 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703.5/234 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703/234 : Time 47, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703/234.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702.5/234 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702.5/234 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702.5/234.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702.5/234.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702/234.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701.5/234.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701.5/234.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701.5/234.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701.5/234.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701.5/234.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700.5/234.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700.5/234.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700.5/234.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 700.5/234.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
